SUBSCRIBER_ID,BNUM_OUT,BNUM_IN,PROD_CNT_MACRO,REV_BUN_MAC,REV_OUT,USAGE_OUT_INT_DUR,USAGE_OUT_OFFNET_DUR,USAGE_OUT_ONNET_DUR,LNE_TENURE,TOPUP_AMT,TOPUP_CNT,CHURN
3029,11.0,15.0,0.0,-1.0,2.0,0.0,1.0,13.0,108,-1.0,-1.0,0
3030,31.0,33.0,-1.0,-1.0,12.0,0.0,57.0,315.0,188,12.0,4.0,0
3031,15.0,5.0,0.0,-1.0,1.0,0.0,7.0,31.0,189,-1.0,0.0,1
3032,0.0,21.0,0.0,-1.0,0.0,0.0,0.0,0.0,80,-1.0,-1.0,0
3033,9.0,9.0,0.0,-1.0,3.0,0.0,3.0,21.0,118,7.0,3.0,0
3034,17.0,19.0,-1.0,-1.0,7.0,0.0,35.0,7.0,159,10.0,4.0,0
3035,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,114,-1.0,-1.0,0
3036,9.847960992907801,14.55252659574468,-1.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,135,-1.0,-1.0,0
3037,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,126,1.0,1.0,0
3038,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,111,-1.0,-1.0,0
3039,2.0,6.0,-1.0,-1.0,1.0,0.0,13.0,0.0,159,5.0,1.0,0
3040,0.0,3.0,-1.0,-1.0,2.4848619768477294,0.0,0.0,0.0,89,-1.0,-1.0,0
3041,3.0,8.0,0.0,-1.0,0.0,0.0,0.0,0.0,164,-1.0,-1.0,0
3042,9.847960992907801,14.55252659574468,0.0,-1.0,2.4848619768477294,-1.0,-1.0,-1.0,134,-1.0,-1.0,0
3043,32.0,37.0,-1.0,-1.0,18.0,0.0,45.0,27.0,137,22.0,14.0,0
3044,31.0,30.0,3.0,4.0,8.0,0.0,26.0,100.0,164,12.0,7.0,0
3045,0.0,2.0,0.0,-1.0,2.4848619768477294,0.0,0.0,0.0,187,-1.0,-1.0,0
3046,3.0,21.0,0.0,-1.0,0.0,0.0,2.0,1.0,159,-1.0,0.0,0
3047,1.0,4.0,0.0,-1.0,0.0,0.0,0.0,1.0,77,1.0,1.0,0
3048,11.0,18.0,0.0,-1.0,2.0,0.0,2.0,10.0,155,2.0,1.0,0
3049,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,15.0,72,-1.0,-1.0,0
3050,68.0,102.0,3.0,6.0,0.0,0.0,1.0,1335.0,115,6.0,3.0,0
3051,6.0,5.0,-1.0,-1.0,4.0,0.0,25.0,0.0,97,5.0,1.0,1
3052,9.847960992907801,14.55252659574468,-1.0,-1.0,0.0,0.0,0.0,0.0,65,-1.0,-1.0,1
3053,1.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,68,1.0,1.0,1
3054,0.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,154,-1.0,-1.0,1
3055,11.0,17.0,0.0,-1.0,2.0,0.0,0.0,7.0,155,2.0,1.0,0
